economy,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017
ABW,,,,,,,,,,
AFE,2.43185663961612,2.42020104932077,2.5049351399906,2.62405505855032,2.55814702107479,2.76334286724056,2.58483109207052,,,
AFG,,,,,,,,,,
AFW,0.894147544329085,0.857032448736113,0.83869769852757,0.853197011825129,0.855089130244457,0.814806401540957,0.83419708268076,,,
AGO,2.14597187989868,1.94943331072076,2.2507551575993,2.35230222680668,2.01780152844807,2.54660688169104,2.54884001929019,,,
ALB,19.2688176765408,21.8750151944777,23.2821918775617,22.1093361945263,25.419173756688,26.0687850119228,24.5480502099359,,,
AND,,,,,,,,,,
ARB,0.35060382865555,0.358836227042128,0.434215320690653,0.416437985199475,0.396857461674712,0.446660790599733,0.414413209361359,,,
ARE,0.0,0.0,0.0,0.0,0.0,0.025763191848601,0.0969070800104919,,,
ARG,5.42888057039713,6.18534160257561,5.68326959017728,5.85903880132898,5.57056095371141,5.67143015652958,5.50150364266138,,,
ARM,25.696275085559,30.1780207052188,32.5140235123939,29.9237652306994,24.5644730530234,25.7297412632428,25.7182641321184,,,
ASM,,,,,,,,,,
ATG,,,,,,,,,,
AUS,1.04822229666427,1.12028027364403,1.34024550207767,1.67382499111307,1.72074104603589,2.13883076334763,2.37342249684338,2.15439420000884,,
AUT,10.518522978835,10.9741576610228,10.0556375609328,10.206995317003,11.9572596832813,12.2986608351995,13.2072371508149,12.2128791477895,,
AZE,1.03620647687677,1.08128567813195,1.67322892748466,1.19773178754302,0.765949562568253,0.660788427016893,0.572046301627223,,,
BDI,,,,,,,,,,
BEL,20.6235576942005,22.3824307629957,21.242316012202,23.2431816287149,20.7474074597644,21.4255025060909,18.5896310222015,15.110327401377,,
BEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BFA,,,,,,,,,,
BGD,0.25049377765842,0.105840143209264,0.173889205494849,0.199133295139838,0.166701810177296,0.218257250206309,0.153500381699064,,,
BGR,21.8110138219777,24.2183778245229,24.3005862706781,23.5330544490673,24.5310171274566,24.7897641056311,25.8257119437689,,,
BHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BHS,,,,,,,,,,
BIH,4.72900686031021,5.21212731223472,6.43491630649094,3.72775949289852,4.2736512734015,6.04069362212977,4.27387135851599,,,
BLR,0.0108960091542997,0.0169773174018046,0.0163939393146671,0.0183800997483901,0.0306485472979232,0.066229574788993,0.0539210619709001,,,
BLZ,,,,,,,,,,
BMU,,,,,,,,,,
BOL,3.31945255382457,3.14578824642524,2.65157521721861,2.6247937501935,2.25301637232862,2.41602925946948,1.97497927438316,,,
BRA,12.9093971632582,13.7955018306793,12.7004383572272,13.4916124032512,12.6507405645914,11.4981042378909,10.8090873277871,,,
BRB,,,,,,,,,,
BRN,0.0,0.0,0.0,0.00444113367683264,0.00449080768220538,0.00565388122510402,0.00483966771741855,,,
BTN,,,,,,,,,,
BWA,0.0,0.0,0.0,0.0,0.0,0.00346508583541406,0.00316580576382795,,,
CAF,,,,,,,,,,
CAN,19.1858909870596,18.8995838496017,18.5611489895503,18.7090675546932,19.3476444265948,19.9124179587462,19.6911106025197,19.770846389418,,
CEB,10.5572149982234,11.3277056443684,10.3163343348337,10.46712968352,11.0434790633721,11.5322786281088,12.2183303591353,10.4444329368099,,
CHE,39.0740281545514,38.7479861572651,39.4349277293833,40.2837737989995,39.9044022359133,38.8670912293051,42.4228241470122,39.8865358839965,,
CHI,,,,,,,,,,
CHL,6.15782788272899,6.57765287948893,5.56766616011229,4.81547830364205,4.29180432277655,4.08270933094002,5.64538506080068,5.72221215920605,,
CHN,3.38410252972864,3.46831716117637,3.50934153555749,3.52243463333402,4.09182975952194,4.53414655121912,5.10701715020901,,,
CIV,0.975285270355837,1.24104056666855,0.945001444478687,0.823567099672619,0.817267171430795,0.649866360455881,0.79477671158237,,,
CMR,4.66721892495555,4.02699162773369,4.33511458632371,4.53710792304456,4.56760686035608,4.56647214734543,4.60075859598976,,,
COD,2.78631575549189,2.95649537742357,2.6841618670332,2.7103291966026,2.41947732545604,2.26762471023057,2.35994627719993,,,
COG,2.24156392641568,1.6451120737757,1.40316666607032,1.42794110204354,1.54538497040343,1.49281828422187,1.4287130347896,,,
COL,10.3818830360804,9.34037846164599,8.85050581128378,11.0055370952223,10.5968731645301,8.97406621107914,9.20354121922188,,,
COM,,,,,,,,,,
CPV,,,,,,,,,,
CRI,14.5095593930555,14.7101789250552,14.5519080208614,14.3919869284472,14.7665385693076,13.9890581870171,14.2087097279856,,,
CSS,0.511845851727398,0.513166317122916,0.453364811243378,0.452777725070753,0.496371665670763,0.499670831609833,0.523750542556267,,,
CUB,0.0934426358921778,0.096403976907735,0.0602151337367091,0.0701098785200371,0.0760337325740591,0.0917410338608715,0.08539666404937,,,
CUW,,,,,,,,,,
CYM,,,,,,,,,,
CYP,2.2260725552661,2.46991435304255,2.86477145485534,3.52121540736687,4.22990905567629,5.2851490507606,5.22696188749939,,,
CZE,15.9442536935492,17.5232383712388,17.321530028249,18.4405465913305,19.9384984530979,20.7795241044764,20.8488488513946,18.9565725567366,,
DEU,13.9198021319727,13.8504612520086,13.9437343008152,12.5713552960882,12.2845230232385,12.2087666570209,12.9820484847802,12.8636198591601,,
DJI,,,,,,,,,,
DMA,,,,,,,,,,
DNK,5.20440411956962,5.09480510969679,4.99498635503965,6.63367450085431,7.85952987484498,7.65236044737349,9.89182751386271,11.7489461107418,,
