economy,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
BOL,579.480421504719,593.641240734502,636.137860837687,660.991421578347,747.869104039372,740.169933245592,778.168754600586,,,,,
BRA,1294.48083319241,1240.17730372725,1358.50240216015,1367.18804920798,1413.73338546845,1461.07677362945,1495.5411407278,,,,,
BRB,,,,,,,,,,,,
BRN,9337.11632025892,7925.99673875104,8337.7522296042,9837.47240828374,9599.18495627787,7522.38547626937,8672.89849625895,,,,,
BTN,,,,,,,,,,,,
BWA,1101.2483582476,1007.29615381662,1083.91147729412,1026.72712098704,1150.63903770977,1203.31618466646,1300.63357654029,,,,,
CAF,,,,,,,,,,,,
CAN,8194.88077131979,7797.12113645126,7788.56078606815,7911.55458837168,7733.41165473909,7743.72574213676,7897.85561511436,7631.34157027209,,,,
CEB,2706.4490452995,2527.35147431345,2634.98393198861,2637.75999544147,2566.10715329701,2511.70955906068,2470.54431835595,,,,,
CHE,3499.79098222662,3481.85284518735,3347.6183556895,3205.32827089841,3202.83433712303,3304.11543776221,3059.93674902905,2960.07338939119,,,,
CHI,,,,,,,,,,,,
CHL,1815.20817105078,1748.32869285328,1807.91618781528,1950.23745496004,2138.29789373886,2202.11471853502,2032.93361230598,2005.55072758311,,,,
CHN,1672.90411994066,1778.43351862146,1954.72255616896,2085.08302163141,2149.60256906343,2204.24329905226,2224.35489845903,,,,,
CIV,521.908419077682,467.46304815454,494.952696505674,554.066137953113,586.274505981941,612.548922454169,612.640451521905,,,,,
CMR,332.171832338718,349.37065441693,342.496395007658,321.158954639328,322.278843451189,329.587313666073,335.201581634446,,,,,
COD,307.654980173791,306.548963201272,307.419958347281,315.766569084684,378.917055797236,385.169221726306,389.331933619227,,,,,
COG,336.090332587392,371.369952236214,392.367056660937,508.037149003309,567.361248300241,567.860910707615,554.809461332309,,,,,
COL,669.248982916541,686.10752961326,689.979693604754,684.402386041295,684.635103159862,723.814816283695,724.070279268057,,,,,
COM,,,,,,,,,,,,
CPV,,,,,,,,,,,,
CRI,1027.49935415179,1008.88460935259,1015.01429532367,1004.72859774241,1009.45711852147,1021.26162799648,1023.01022440302,,,,,
CSS,4918.35094853298,4826.41529197028,5025.50488095508,4959.11279889315,4821.44728140098,4867.92039772146,4814.84576951593,,,,,
CUB,958.208058663475,1016.65501142766,1099.50272732545,1032.81950677385,1065.34260296957,1022.16034393119,1034.68542994376,,,,,
CUW,15326.4875239923,15608.4940033916,13710.0798235409,16064.0518195862,13395.3697859134,11727.5097190259,12650.8604378195,,,,,
CYM,,,,,,,,,,,,
CYP,2388.5784342732,2299.78353302874,2195.32777227024,2105.24902719238,1961.81212038983,1687.82969333821,1712.14192174413,,,,,
CZE,4330.7126907018,4034.7435104926,4237.89674072334,4077.35605875256,4054.08501838826,3989.99141357576,3915.11358247856,3860.00296414044,,,,
DEU,4036.83078099396,3790.50115157318,3997.07942080976,3869.81622904859,3876.94810409338,3939.52956270835,3779.46192078536,3817.54941455461,,,,
DJI,,,,,,,,,,,,
DMA,,,,,,,,,,,,
DNK,3501.51384669601,3329.21106734539,3510.79684978396,3230.18803095984,3091.58158027832,3125.3377601011,2872.57354732678,2816.61456539942,,,,
DOM,771.974097488507,748.189988739378,776.689131239984,781.469566714042,815.390342643116,759.693800676856,751.795098208768,,,,,
DZA,1073.20575248274,1153.66403838672,1114.21715229353,1140.64290113225,1229.54703039402,1247.49495511749,1327.53550999587,,,,,
EAP,1414.1067184476,1489.74356276761,1621.1152900855,1701.23326164813,1752.51762271697,1797.39857962946,1869.56691874524,,,,,
EAR,826.474354566248,843.556602131778,861.804777667714,862.704560786551,888.005511817583,883.485816086073,899.210271677267,,,,,
EAS,1727.52024885062,1779.96797317001,1922.64256733076,1979.89725017813,2017.66918431423,2057.08049723483,2127.71646775515,,,,,
