economy,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
ABW,,,,,,,,,,,,
AFE,1.08644884945052,1.02195356572593,1.04887555573041,1.0053381095461,1.02164632918829,1.03183309057281,1.0411447920002,0.987393167382925,0.971016455310255,0.959978016817397,0.933541201136227,
AFG,0.158356377673251,0.211306250868557,0.297065211570221,0.407073503097594,0.335351023308404,0.263715760645502,0.234036914423758,0.232175631246749,0.208857195602366,0.20332756862023,0.200151071015376,
AFW,0.475024544693043,0.426769596319387,0.472819124711189,0.497022584362617,0.490866786557112,0.504655298587815,0.507671120670619,0.480743071312896,0.472959364018388,0.476437768956377,0.515544238958445,
AGO,1.15599284575018,1.20590158910291,1.22151474078862,1.2163169789758,1.20479888322113,1.26154174238672,1.28536455265954,1.26092098873993,1.2277029417926,1.03431729977182,0.88738036390839,
ALB,1.41484755272088,1.47565225025013,1.57225093811545,1.73482330790188,1.57909199452076,1.65452427763954,1.80678854066866,1.75998705871449,1.71412617289866,1.94887203810602,1.93973156347946,
AND,6.43930360124016,6.15668770201632,6.1571980012788,5.85088599130725,5.94465405752969,5.94280054475672,5.8071276179415,6.02618183683151,6.08060029756129,6.10413392729587,5.97340536048203,
ARB,4.09353819549368,4.19327154821276,4.32200192749412,4.30874050686413,4.51218940948461,4.49519443939826,4.60019065903552,4.61796354463472,4.57030837009204,4.52835061157416,4.43871596541357,
ARE,22.0326269069436,19.8525570618923,19.0432793083694,18.5899325991994,19.223116133525,20.0154208978824,19.9518524813163,20.9480922596993,21.307609517171,21.9506143326075,20.7974984025486,
ARG,4.19534263823654,3.88906040211758,4.12224508735352,4.29601548562594,4.277881788849,4.35988634439761,4.21636063230176,4.31443352245988,4.22753944174089,4.0894715157252,3.9872341980589,
ARM,1.95693033637535,1.56158352186598,1.50835119142367,1.71734336020825,1.98319210023857,1.89812716968877,1.88160773079824,1.82529219202211,1.72675278179192,1.80658104876105,1.88024626821933,
ASM,,,,,,,,,,,,
ATG,5.62100381759843,16.0243477859885,5.5662842212882,5.71428571428571,7.96398508965014,5.136050704841,5.18571335969404,5.23666520610018,5.28988573846805,5.23971705527901,5.50466338464095,
AUS,18.2830412439057,18.2074249597772,17.5814449601144,17.2681103655036,16.9692565563587,16.3986459950997,15.7558761009156,15.7864494009173,15.8720795379851,15.7386474030825,15.475516485656,
AUT,8.49967361637859,7.7211442011774,8.36501501063443,8.13547478127942,7.72361441429771,7.75369957604068,7.25338378134494,7.3067452655704,7.25562651573804,7.48275147921596,7.14663762463773,
AZE,3.37540224113928,2.80980409272443,2.66723155280809,3.11345739632547,3.30902697394862,3.33340377480633,3.42210064541678,3.33390642946498,3.34706182082623,3.24435690442685,3.22140218320925,
BDI,0.0246120404070635,0.0238161554747209,0.0368850314318101,0.0413019905550161,0.042180438832307,0.0429755787605046,0.0396168300827047,0.0403541956650932,0.0438596407590311,0.0526461137470086,0.0527946300523678,
BEL,9.98415215425847,9.23170144231094,9.77184705806553,8.65806434779962,8.54961568145011,8.65727005028135,8.04349554115034,8.44406111087655,8.32375671826537,8.1554911149366,8.17971106113614,
BEN,0.500177361742641,0.525450061952798,0.552218690776448,0.526380933425601,0.487190487574895,0.501769487097627,0.535635874149484,0.566378736988654,0.665006633510153,0.658601659819357,0.688722324311593,
BFA,0.13002285611201,0.127467638080145,0.133929621329696,0.13679962865119,0.163536225265297,0.173961011998565,0.171727227334835,0.18773519354615,0.187704296015038,0.212053871478473,0.21618648458803,
BGD,0.288141373384069,0.306664813200526,0.342739973529334,0.364566607143118,0.384025154859518,0.39656611450694,0.412898522713156,0.458797539455164,0.466776363121019,0.492906612933688,0.512837313770296,
BGR,6.67728964769189,5.7720906721967,6.06441750019167,6.7593607688715,6.17584063703139,5.48098688045544,5.84584197704908,6.22597604260022,5.8559262562954,6.22390190316575,5.85477343393352,
BHR,22.2223219051806,20.867877560492,20.9370245248472,20.3653240261534,20.4393734489693,21.8702401239821,22.6185245866057,22.3055968824648,21.1811953067521,20.3336240367799,19.5929758385156,
BHS,6.13943202979516,17.2196796338673,5.86021141839656,6.73001782620424,10.0115242545678,8.47037547458615,7.06913996627319,6.33351149118119,5.7948312222331,5.6319728407933,5.86046391017413,
BIH,5.52971676716137,5.51132310566671,5.62410571591573,6.48426064542703,6.09158684172859,6.16778985366107,5.59718744920459,5.71826479677561,6.59724303753134,6.75809942551679,6.78113160660171,
BLR,6.32557670903134,6.0181493496348,6.48155451022139,6.16700503284683,6.32910320450149,6.34635824615165,6.2941107676709,5.80166568791964,5.83037176989114,5.94566713207934,6.28364773644065,
BLZ,1.62960935004661,4.64000254246715,1.73662257919464,1.93800797005778,2.04141407865657,1.44631147185333,1.38666425179559,1.82862969140489,1.76439132570935,1.72975849910186,1.77512784836231,
BMU,,,,,,,,,,,,
BOL,1.33930541481591,1.40316587403475,1.49672635891359,1.61069998279635,1.66222170915514,1.76051411565231,1.88389931104579,1.8776911887064,1.95887859684466,1.98787565601013,2.00032766265544,
BRA,1.9380268626479,1.80946064296739,2.03220381623177,2.11184451477929,2.26687811082304,2.40185952057599,2.49936201612059,2.34736573083425,2.14349752363003,2.16442150357383,2.04187419904738,
BRB,6.35836911404342,16.4350229627864,5.63567987920505,5.9013311565549,7.78997384542718,5.20587842163394,4.52909681383306,4.52112838953201,4.58365698850237,4.19244730617792,4.36087077867709,
BRN,19.0291446373129,19.3538976092857,17.6515693428779,17.8060235669453,17.8698085449264,17.3584495096609,17.0092098648537,14.4126252669228,15.2695031575236,15.8075390889109,16.644908616188,
BTN,0.59558285972088,0.545458029953017,0.685628925954994,0.966396796755215,1.08326610431853,1.19678697895767,1.30727498529316,1.31888965976768,1.66959411216958,1.78388680768761,1.82927799192997,
BWA,2.2916671016832,2.09368337262189,1.69593368446374,1.98471176527211,2.51525948603394,2.69569091867304,3.41373893467406,3.39979516352025,3.29641075500307,3.56903798327132,3.64230521985371,
CAF,0.0608419401277868,0.0599406633540997,0.061548772272962,0.0656310687521655,0.0676222288692369,0.0674468771533821,0.0672017268155723,0.068993590495443,0.0683168039724238,0.0674496189422899,0.0707187056333878,
CAN,16.5488028165328,15.4866819144667,15.7339140263037,15.950224768522,15.7612634959816,15.858128708318,15.8541384273439,15.651386155996,15.2447471768292,15.3852910477258,15.4970252672198,
CEB,7.0526354274999,6.52153532701068,6.78615380612375,6.80390252319873,6.56254306163762,6.32693497097964,6.1420625006842,6.24998268897351,6.37248993580012,6.6259439670661,6.59723248598714,
CHE,5.87891091083238,5.63932761445853,5.77770297392596,5.20575431114562,5.31083383842735,5.37497098034872,4.85183819699684,4.71240447812445,4.73049099415311,4.5694192033924,4.40199104356902,
CHI,,,,,,,,,,,,
CHL,4.08480718064214,3.87121211044485,4.08614642223947,4.43726621229803,4.51082647202854,4.7201404591785,4.30148844789357,4.5616548528506,4.73170735993575,4.71239578277393,4.6248722447118,
CHN,5.43161049480808,5.79534426032481,6.33216591101925,6.89814763184601,7.03978762212097,7.28901734104046,7.21279139270771,7.12422274723523,7.07189848608219,7.17494798437203,7.35226268214092,
CIV,0.324397640507023,0.295625731243706,0.302927821748309,0.284849452071393,0.366173070936217,0.383021967260586,0.395625651943387,0.41160505823006,0.391223069937504,0.424757467782576,0.39530538358065,
CMR,0.426434270896604,0.44416546967694,0.441959377493088,0.381223120660896,0.328597266210376,0.333827053126968,0.341682842226338,0.343800786801621,0.357343635306538,0.338678510644967,0.34184290843119,
COD,0.0309545275507296,0.0307452987075509,0.0319063981512999,0.0377498958844389,0.035206804261136,0.0511499604169375,0.0649337929489086,0.0379043575216646,0.0261457386317123,0.028010252981111,0.0261692628875174,
COG,1.34862708018249,1.31229796883292,1.16525626980409,1.10584180273147,1.05316907443289,0.865284504463462,0.861310987098279,0.708388410189014,0.672556251801849,0.63005055470864,0.613992585944184,
COL,1.35577986581937,1.40692567655896,1.4302551910933,1.53100732200803,1.52553228629889,1.67306542320275,1.69946558599221,1.7051528338186,1.7386593989486,1.55510616635784,1.6006506184645,
COM,0.182585316793132,0.193092917797374,0.231986266413028,0.212290787428989,0.207220959709338,0.24274757893005,0.210695426592397,0.2315306102761,0.251383552225561,0.307166816154517,0.31237910327974,
CPV,0.998240600940842,1.04794448770925,1.09612620878362,1.14260972060185,1.04900433654434,0.996599835854145,0.964736935532419,0.952852841407173,1.03550852882479,1.09767646079342,1.14020052817031,
CRI,1.68491883374041,1.59265996112582,1.55329336424773,1.60368272896294,1.58916280556988,1.64061954686426,1.63281818579928,1.55534308826366,1.64920307568209,1.65254027561867,1.65218405330354,
CSS,5.80755295885011,7.02915018036384,5.69036308044249,5.85842352016065,6.06138584743462,5.8119007793422,5.60539757547387,5.46232676843348,5.03206254724437,4.87631094431737,5.01703440813194,
CUB,2.34137746146094,2.41388595466651,2.69556833777948,2.53989816022913,2.56282428388382,2.42406043506168,2.3773075382494,2.42742086665371,2.50990109666357,2.26205337123118,2.20230009386014,
CUW,,,,,,,,,,,,
CYM,,,,,,,,,,,,
CYP,7.76650196751383,7.44930511097006,7.02847430876932,6.71208361744857,6.18477136609441,5.57757639443781,5.85786476923918,5.83985867197479,6.11012409106563,6.18809258403726,6.07940050216016,
CZE,11.3928284018176,10.6444543513097,10.8769849566706,10.5734631798057,10.196193719118,9.76957796031908,9.47712222694416,9.57514081800604,9.73469317450937,9.76172591693868,9.64070499819002,
DEU,9.61574798772921,8.9699549000494,9.4515653742443,9.29779081983736,9.44994992466537,9.64255894664068,9.10678232951564,9.08729093927033,9.0730063894536,8.85829369906254,8.55838981170216,
DJI,0.57572568998274,0.555676354763113,0.618904681537835,0.562277505034141,0.587465558391773,0.633989059160236,0.511846463864196,0.590810920811643,0.527382450218864,0.497828619849592,0.51098993349831,
DMA,2.54133194030694,7.05736224028907,2.53961087517813,2.39733754512635,3.52340953293683,2.39372562272068,2.53196607165464,2.52897787144362,2.52429635239177,2.37895326056535,2.51305391896797,
DNK,9.12330865198018,8.67086298533703,8.68470675054793,7.73529181563401,6.83349870125968,7.12029994308034,6.33652138088678,5.91186777544685,6.17666519436942,5.78145977956558,5.76149416359606,
DOM,2.17168835235992,2.04975891577256,2.12890674759263,2.12672314762363,2.1790537750999,2.11480115992614,2.09735546299122,2.28075678330622,2.35243473147717,2.22484096287008,2.36375764821923,
DZA,2.9941892170951,3.19155421416758,3.14474752533191,3.22245952272794,3.38755462612394,3.40612323474996,3.56620883406526,3.6742329469226,3.53501992705652,3.50574766242013,3.59165741835207,
EAP,4.28417152615594,4.51461759603868,4.90596444289655,5.30351330740334,5.40290364151804,5.56003795725899,5.53129589708455,5.48585372798749,5.45748930484867,5.53805493759211,5.69296670448873,
EAR,1.93050715235063,1.95926571158909,2.01910781958775,2.06593058362201,2.13138279908905,2.125598135122,2.20357369871968,2.19477663690869,2.1998322271289,2.24769667688375,2.27814572017231,
EAS,5.03238006920182,5.22176728290531,5.62933501746916,6.03338433998482,6.14053387876138,6.28252289166933,6.22185304796646,6.16912317631479,6.14069697615609,6.21089714462381,6.3338928529127,
ECA,7.54051311496742,6.88182732749797,7.22829990687747,7.60018359293005,7.53564983637821,7.34191326690039,7.08227835191542,6.84753646466496,6.87767395160863,6.97427475086632,7.07418651306219,
ECS,7.72884737131811,7.10222988682711,7.36881437857361,7.36410623516349,7.29074086631933,7.1089120563792,6.76882248116481,6.69438917163659,6.68545131178172,6.72214356281465,6.69048092553962,
ECU,2.08314127798103,2.19501121262897,2.30828971120997,2.32880266415025,2.36718144300356,2.51027011155773,2.58277544547861,2.51171630534427,2.36551607544329,2.2495799314593,2.31381230047905,
EGY,2.37480294892964,2.40944732104991,2.37429973865545,2.38509152293329,2.45781641392308,2.38030460207004,2.39591700795628,2.44422078841638,2.47715463828412,2.47494390185913,2.50204214229022,
EMU,7.88653703925716,7.27124141616143,7.44119878668273,7.17999066816764,7.07706350763883,6.91472102882866,6.52371159377268,6.64629518897645,6.61718276211305,6.61317693138972,6.45483756670081,
ERI,0.146925246393638,0.15064488833047,0.157706965948227,0.180462225989112,0.193839950967723,0.198082983361334,0.205348482414318,0.194446721299215,0.195465322970907,0.210964653458326,0.231696216140132,
ESP,7.05399426114393,6.2008570378595,5.86664242575026,5.87043576026433,5.75694702858302,5.20806018098009,5.18406686000494,5.51794438614828,5.31429460704187,5.65403956917695,5.52035039972218,
EST,13.6789595315199,11.210065079823,14.1797630447436,13.5976116416649,12.6862105880716,14.5599724430329,13.5560212849313,11.6845964785044,11.8939952424019,12.3578242942073,12.1030850007224,
ETH,0.0829753053430935,0.0813056557305241,0.0738247695725838,0.0836477260110525,0.0912355801680249,0.107772862988097,0.125695422925035,0.127732852055517,0.144300198619813,0.145300852934804,0.149050931014413,
EUU,7.68210773549679,7.09733195825314,7.28154919271329,7.07237956876888,6.92720467882331,6.7429737169052,6.40022381699849,6.51638883308948,6.51892253014466,6.55914292168476,6.42403874133475,
FCS,0.884775167054263,0.873336073660786,0.913330586886779,0.900283901496023,0.936360374755636,0.941897370868164,0.952647594078634,0.880607849675141,0.863007497857848,0.858046833682774,0.868444603959167,
FIN,10.6636072314539,10.1482129836065,11.6587537047727,10.2296246366182,9.12638800614189,9.22784673280171,8.45187193583022,7.81453741205224,8.31801267373246,7.80833860122355,8.04275204989552,
FJI,1.1356162374195,1.13631571302054,1.34912585948622,1.28553907517624,1.19066197337772,1.30544984877577,1.51192167553238,1.73836561397692,1.9944842195033,2.06277209217514,2.15056197580052,
FRA,5.56442899965839,5.31441442186309,5.3506589250195,5.10431227537594,5.12231119022055,5.10055617017218,4.59237682939366,4.66608659650847,4.68661220239091,4.72757562163375,4.61924120513374,
FRO,,,,,,,,,,,,
FSM,1.15887164530802,1.26249138106846,1.06883283454468,1.16000309334158,1.24394771592062,1.32172730877438,1.30300435575742,1.37758756864978,1.54243977679989,1.52519715416155,1.59801136363636,
GAB,2.71972120552795,2.67699220804054,2.93692808405156,3.34791814696292,3.33204357147062,3.13691822549489,2.91962898416552,2.81358943158305,2.84379261331094,2.27623628688714,2.17527220393767,
GBR,8.3228443641371,7.4686553963492,7.67592642970483,7.02542460093701,7.33247132682362,7.06490255865771,6.42159819144514,6.14854495774701,5.77474166798541,5.54626594443601,5.39870813789348,
GEO,1.25764951023126,1.4733567549868,1.40491906530629,1.73568545333202,1.92819601842272,2.10884888053479,2.27724044701665,2.46961567411381,2.58886305987517,2.58315173481574,2.53854169098541,
GHA,0.363268588912024,0.411651295524548,0.449966654040697,0.480941312043349,0.546997678991142,0.56412366658134,0.527833773133592,0.543283051942276,0.495401525745413,0.507529429152326,0.541201382411755,
GIB,,,,,,,,,,,,
GIN,0.206391015891492,0.21275592179012,0.245286380679753,0.251428463947701,0.233758216272726,0.200131811584896,0.200879385380823,0.222181479231805,0.241088376865262,0.24611527343324,0.25132323293185,
