economy,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019
BLR,86.31206617624,85.6356111438264,85.6224329737371,85.8955371534026,86.5014276765472,85.3896270540696,86.7796989270316,,,,,
BLZ,,,,,,,,,,,,
BMU,,,,,,,,,,,,
BOL,-181.121238812694,-136.958673787525,-147.912400135601,-152.256863871202,-149.092221456012,-180.950716178814,-177.985836124855,,,,,
BRA,8.20766994243933,4.09870812396052,7.24426019949055,7.71262147110912,10.5852440118198,13.8908191836356,11.870133377942,,,,,
BRB,,,,,,,,,,,,
BRN,-495.880028340207,-522.428639880426,-473.19072663497,-382.704805332459,-383.542312546638,-458.372543437915,-357.394379176148,,,,,
BTN,,,,,,,,,,,,
BWA,52.8823359599088,53.9281452706343,50.9013871458836,53.8457969759413,42.4529793287588,44.5816331916543,44.4999646607729,,,,,
CAF,,,,,,,,,,,,
CAN,-50.4282560415369,-50.1977151257696,-51.374873798441,-52.9620789163126,-59.1141604001908,-64.4437480511021,-67.9272217430383,-72.5281697658652,,,,
CEB,37.1631745073899,34.7237487132016,37.6959266427568,36.4626705476488,33.7213063804636,33.9739168122019,33.889935902036,35.5036638323212,,,,
CHE,52.1825639380953,52.5998001697148,51.7808280258886,51.367205990198,50.277064576874,51.519771321102,47.0513611742434,50.0889972059633,,,,
CHI,,,,,,,,,,,,
CHL,67.9348230887303,65.4615989106651,70.1466167931367,70.6126625023978,64.9903912288259,61.2882978692337,64.2016679867395,65.2364564463155,,,,
CHN,8.43554507293036,10.3609956987037,11.4464132180229,11.8601232108012,14.3597403782927,14.7564514134368,15.0218007401139,,,,,
CIV,-11.5599496536022,-15.4166671110206,-9.86418554820721,-5.4519749960176,1.13489206113057,4.59737474905168,7.07753868862289,,,,,
CMR,-45.4550884757872,-27.9254552128733,-20.6479014755699,-21.2912637626549,-21.1715006700367,-22.823751532008,-28.3198208915884,,,,,
COD,-3.46389085648968,-3.43708545099668,-2.87035354359538,-2.11675623824515,-1.54713742010089,0.224731733042656,1.95926730139692,,,,,
COG,-889.660901542921,-901.143245400873,-944.892818422851,-672.112688294175,-539.725922472489,-464.5587206195,-496.597901231796,,,,,
COL,-212.716366740784,-219.858976947433,-239.493734909981,-285.143592060757,-294.762437575004,-268.53275583505,-274.133160746085,,,,,
COM,,,,,,,,,,,,
CPV,,,,,,,,,,,,
CRI,48.86697270913,48.1026568417138,47.5695406273266,48.1964316173125,47.9157448178892,49.0499358240538,49.8341838008713,,,,,
CSS,-86.6007239940809,-92.0637820368837,-87.3240877630051,-79.8298439804338,-81.1318771644018,-78.5304203245728,-78.4108039231565,,,,,
CUB,49.4776063956253,53.9709499783243,57.465748951983,53.3175482249594,53.965122561002,53.5712077716756,49.7782392380128,,,,,
CUW,99.8769136087391,99.8799219143379,99.8650140038161,99.8864197755057,99.8649175982624,99.8474457980797,99.860473346201,,,,,
CYM,,,,,,,,,,,,
CYP,96.8613963714625,96.6979056905392,96.3506715702671,95.9596497051175,95.1986462763843,94.3563077946247,94.0267505230889,,,,,
CZE,26.9337095198041,25.7957365126699,28.6957955882688,24.7747211159996,23.3993144029084,28.1041136321624,28.9898067917948,31.6236986314595,,,,
DEU,60.0031535195736,59.3175464598352,60.6644097086953,60.5645102225714,60.6954585991601,62.093783982408,60.8759102791018,61.4001693687375,,,,
DJI,,,,,,,,,,,,
DMA,,,,,,,,,,,,
DNK,-38.7149556638364,-30.4598834787606,-19.8620224238206,-14.5419457991402,-8.65371794353392,4.90808960439431,0.944353804633896,1.77499867099204,,,,
DOM,86.5832296088198,86.2830830827478,86.918579480835,87.170577873891,87.2352370271932,86.5939353448417,86.7171002235763,,,,,
DZA,-334.702462506188,-275.425610048654,-275.463486099988,-248.734823648095,-212.765931803021,-189.345469003897,-177.124357913786,,,,,
